"date","Q","NO23","status"
1999-03-03,58.6158719831621,8.85,1
1999-03-07,52.9525027094267,11.03,1
1999-03-20,80.4198436870437,10.6,1
1999-03-24,63.1465674021505,11.36,1
1999-04-05,62.2970620110902,9.27,1
1999-04-26,453.069541898838,13.99,1
1999-05-17,227.101107876792,12.26,1
1999-05-19,308.653625418583,13.26,1
1999-05-24,277.505094413038,13.8,1
1999-06-07,151.495128072424,14.15,1
1999-06-15,339.802156424128,14.13,1
1999-06-18,191.421881452259,14.65,1
1999-06-23,208.411989273465,13.45,1
1999-06-27,162.821866619895,14.05,1
1999-07-13,99.3921307540575,12.4,1
1999-07-16,79.0040013686098,11.94,1
1999-07-19,67.1109258937653,10.51,1
1999-07-21,152.061464999797,9.5,1
1999-07-23,95.4277722624427,10.56,1
1999-07-26,65.4119151116447,10.78,1
1999-07-27,62.2970620110902,10.54,1
1999-08-06,27.6938757485665,6,1
1999-09-28,11.7514912430011,1.81,1
1999-11-16,6.48455781842711,1.74,1
2000-01-05,5.3802008100487,4.13,1
2000-01-25,3.68119002792806,4.56,1
2000-02-22,9.85426253629972,3.09,1
2000-04-18,7.78713275138627,1.53,1
2000-05-02,8.3817865251285,0.01,1
2000-06-30,23.956052027901,3.97,1
2000-07-05,70.2257789943198,3.76,1
2000-07-07,110.435700837842,6.66,1
2000-07-21,16.5370382793076,4.37,1
2000-07-24,13.7336704888085,3.91,1
2000-11-07,9.65604461171898,0.72,1
2000-11-29,9.48614353350691,6.29,1
2000-12-08,8.77822237428998,7.16,1
2000-12-12,3.39802156424128,7.21,1
2001-01-30,6.79604312848257,3.38,1
2001-02-05,6.51287466479579,4.1,1
2001-02-20,5.09703234636192,4.56,1
2001-02-22,4.2475269553016,4.51,1
2001-03-26,278.071431340412,4.26,1
2001-05-04,227.384276340479,6.83,1
2001-05-22,238.427846424263,11.86,1
2001-05-28,138.186210279145,16.1,1
2001-06-01,154.043644245605,12.8,1
2001-06-11,97.1267830445633,16.27,1
2001-06-14,163.105035083582,9.87,1
2001-06-15,171.600088994185,12.04,1
2001-06-21,127.992145586422,17.08,1
2001-06-27,72.491126703814,16.67,1
2001-07-11,32.2812048602922,12.76,1
2001-07-18,21.0960505446646,8.09,1
2001-08-27,28.6000148323641,4.9,1
2001-10-29,10.1940646927238,5.66,1
2001-11-26,11.9780260139505,4.03,1
2001-12-06,19.6235745334934,13.14,1
2002-01-02,12.7425808659048,16.85,1
2002-01-09,10.3639657709359,13.51,1
2002-01-15,11.7231743966324,10.46,1
2002-01-21,10.9303026983095,10.6,1
2002-01-22,10.9019858519408,10.03,1
