"site.id","constituent","Water_Year","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"Musk","NO23",2002,365,13488299.2628208,1436337.49919262,10892308.9280486,16515716.2595106,365,13853010.8828419,1809480.0382483,10645216.3915489,17725014.8588036,365,11621114.6419885,NA,NA,NA,365,10510990.3810505,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2003,365,14535434.4028479,1363297.79121189,12046589.5351866,17385541.2622048,365,14569055.6796065,1374589.19251474,12060700.5829759,17443809.1885582,365,12733863.3366155,NA,NA,NA,365,12174632.4446802,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2004,366,28207386.2987809,2704971.00580733,23277354.9552972,33870104.5743445,366,26283978.2956406,2501877.50314265,21721551.0190256,31519127.1143212,366,18135655.4399383,NA,NA,NA,366,17779391.8690136,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2005,365,28512719.7634268,3121905.17471862,22883751.2636232,35105448.650234,365,24126733.430528,2966767.44824692,18834816.958906,30445141.2086894,365,13715627.8999084,NA,NA,NA,365,13510794.5587113,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2006,365,12008684.4782266,990181.418273461,10184868.7598235,14063476.71857,365,11746859.4144993,1098615.73559983,9740797.99487037,14043224.7012129,365,12556132.8501343,NA,NA,NA,365,11986734.6443342,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2007,365,19495462.5885117,1970100.39382087,15919393.851537,23633500.4022608,365,17189353.3064796,1992923.20998957,13614438.8662546,21415117.2047237,365,14398230.0498749,NA,NA,NA,365,12613734.2410182,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2008,366,20146297.8831203,2106624.41408681,16333040.6792292,24581059.9005747,366,17556750.2110465,2037321.2907892,13902494.2559997,21876934.0037843,366,15295583.2715375,NA,NA,NA,366,14350574.8015337,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2009,365,8143334.38793296,864234.46644149,6580898.23485478,9964492.70933933,365,7985209.11362518,819873.832846666,6498905.5127049,9709078.50161607,365,6285937.59560404,NA,NA,NA,365,5939685.98567593,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2010,365,8494506.00834825,931750.673165428,6814771.17279584,10462390.0585398,365,8589497.38690152,933722.119213134,6904890.32457174,10560314.0583852,365,9249159.80699069,NA,NA,NA,365,9378302.28258526,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Musk","NO23",2011,365,13827892.1834393,1775451.71393263,10674771.6224146,17621875.5584029,365,13314646.8002451,2025935.84078525,9785433.33518989,17706755.8877463,365,13138684.2421819,NA,NA,NA,365,13167820.8020304,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",1999,365,98620868.8388284,22014198.5519974,62474940.7950332,148290693.912801,365,51474127.4747211,10389286.5551194,34105548.0146372,74646901.8527471,365,36891121.3976645,NA,NA,NA,365,34332259.6251776,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2000,366,2358000.01987678,462503.454491902,1581102.31869745,3386358.48534143,366,1991060.18463971,381842.268290768,1347311.67501689,2838014.00997889,366,1070826.59736888,NA,NA,NA,366,1125939.93969497,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2001,365,51087914.8626592,11088685.6797645,32785846.5674941,76025128.8354766,365,44457950.4282814,7756607.00425339,31191595.5880306,61494825.373808,365,13970885.3720437,NA,NA,NA,365,14378058.5813042,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2002,365,10628344.2876893,1788507.41183596,7553712.37904402,14542654.4682944,365,13463181.9569309,1972897.65182146,10010562.2180363,17725954.4644763,365,11345065.9210025,NA,NA,NA,365,10945619.3202612,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2003,365,34820726.7109426,7971970.25678612,21794529.991365,52861699.2799508,365,28972681.6777187,4974640.27138454,20444896.3679481,39881734.0162516,365,21562531.4244831,NA,NA,NA,365,20276248.8135698,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2004,366,43948615.0381092,10270951.6925649,27233529.8637855,67249881.0911212,366,38476822.5149908,6203953.61166373,27749584.768978,51999052.3235741,366,23424954.6093116,NA,NA,NA,366,19821662.2545648,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2005,365,23435675.7780515,4995722.93749346,15163104.7467328,34647153.9964436,365,22633080.947558,3389547.5021454,16716853.5870149,29970911.9949188,365,16385871.1861236,NA,NA,NA,365,14721483.5506929,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2006,365,11310516.5078788,2151693.13051976,7678309.36629498,16079021.6941268,365,11649607.3891036,1833711.26899269,8468948.51461469,15637378.3144136,365,9145119.38507462,NA,NA,NA,365,9553003.27414871,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
"Rac","NO23",2007,365,88812600.3405303,21180138.7804675,54483431.2725774,136981461.168529,365,40814126.7119603,6920938.69089267,28929015.0994814,55972606.6245153,365,36279968.8356192,NA,NA,NA,365,29709671.9309413,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11","2017-07-03 20:44:29"
