"site.id","constituent","Site_Id","water_year","n","REG.Conc","REG.SE","REG.CI_lower","REG.CI_upper","INT.Conc","INT.SE","INT.CI_lower","INT.CI_upper","CMP.Conc","CMP.SE","CMP.CI_lower","CMP.CI_upper"
"MOGU02900","NO3","MOGU02900",2001,273,1924.90898369698,65.2388747658031,1800.1982379972,2055.89767273675,4424.85625438031,286.217984898142,3890.36849616109,5011.80633339085,4433.31766852063,342.099455371664,3800.61340079517,5140.74024305942
"MOGU02900","NO3","MOGU02900",2002,365,2701.87675585197,80.3594577203898,2547.78406896834,2862.75676087831,5913.98836004094,247.532262305776,5443.63006464706,6413.75200750884,5587.10624486156,392.68595856172,4856.95918393953,6395.42371060801
"MOGU02900","NO3","MOGU02900",2003,365,2472.50913296424,74.9103860730976,2328.92479754013,2622.53852051661,3896.1777026904,247.532262305776,3433.52245946228,4403.40058028471,3859.35525880246,275.227676090551,3348.01369455715,4426.28298127091
"MOGU02900","NO3","MOGU02900",2004,366,2954.46604991265,87.0881638793,2787.43771849154,3128.78448121628,5374.16105310083,247.193872178593,4905.9140558518,5874.67103838529,5465.66279429766,374.571868953132,4768.2529541678,6235.78947156756
"MOGU02900","NO3","MOGU02900",2005,365,3136.24283533522,92.2712995998369,2959.2662821399,3320.9287559067,4662.38138493696,247.532262305776,4196.01389223529,5166.02202392036,4351.92211962757,331.266202823074,3738.75553318981,5036.46757478459
"MOGU02900","NO3","MOGU02900",2006,365,2731.95893986725,80.1483705705187,2578.22459804806,2892.37074904234,4715.14541031314,247.532262305776,4248.56677653139,5218.58160306674,4553.41859576756,345.581953714805,3913.64235332253,5267.44043699218
"MOGU02900","NO3","MOGU02900",2007,365,3667.74904340978,112.067321933012,3452.98552309895,3892.23632275621,7489.06581602993,247.532262305776,7015.58515949586,7985.77740374881,6629.70607335383,498.921546165181,5705.5933433984,7660.11159316197
"MOGU02900","NO3","MOGU02900",2008,366,3750.98947463037,108.109755074318,3543.54202036907,3967.28582295016,6002.61944006758,247.193872178593,5532.66512812781,6501.46682466465,5728.0963182583,434.942432521689,4922.90965677544,6626.771408899
"MOGU02900","NO3","MOGU02900",2009,365,4227.26481924222,123.798648166769,3989.79479010387,4475.0308773413,7904.8341926046,247.532262305776,7430.73744362644,8400.94161421452,7393.82242484198,513.29430301309,6438.78409791468,8449.79453711004
"MOGU02900","NO3","MOGU02900",2010,365,5227.14517103841,157.43978699904,4925.33273619857,5542.42388913796,9252.48760270145,247.532262305776,8776.7754112973,9747.00780538189,9880.14524397802,660.587100549919,8648.62065876173,11236.8018661174
"MOGU02900","NO3","MOGU02900",2011,365,4589.90933746381,136.846661606647,4327.51424384938,4863.89094598448,9486.56258019948,247.532262305776,9010.61670182961,9980.85281301236,8715.24058173689,589.453171066119,7616.98641956186,9926.43827539645
"MOGU02900","NO3","MOGU02900",2012,366,4967.02504624999,145.116957794932,4688.64785784125,5257.44256897807,11897.5075835953,247.193872178593,11420.3341648415,12389.2704202375,12006.5992648549,838.338740348333,10447.2647242643,13731.7305176401
"MOGU02900","NO3","MOGU02900",2013,365,5092.98758831418,148.570478105511,4807.97606866694,5390.30722813738,10236.8122121908,247.532262305776,9760.18952396753,10730.4358787925,10058.9915388047,670.175695406259,8809.36421054174,11435.1226414178
"MOGU02900","NO3","MOGU02900",2014,365,3128.54796867592,94.3244335378683,2947.73185341989,3317.43993684365,6487.97012368452,247.532262305776,6016.29790634615,6986.45143878469,6290.38203615347,433.437282340354,5483.60387886791,7181.75982612979
"MOGU02900","NO3","MOGU02900",2015,92,3017.64474005517,185.551695012818,2670.29082035762,3397.33783299957,4401.04044167685,493.042469089816,3513.86670561302,5443.88298435353,3642.41545338309,576.5308379808,2643.12975157842,4896.81841128725
"ORIZ02900","NO3","ORIZ02900",2001,273,74.4110253692078,2.96603174520963,68.7665173479861,80.3911194092727,11.5029351266842,17.4671260371835,0.741997561206587,53.9430558189937,19.6651796882867,1.51988710960556,16.85445506012,22.8083881143665
