"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","NO3","2001-01",31,2303355.53169224,469807.935987177,1519344.11522321,3352461.67790888,31,3198532.23229864,818651.482034669,1891269.41651463,5076813.47086897,31,2692718.17578163,NA,NA,NA,31,2632304.46478503,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-02",28,2328862.00035337,480115.175452476,1529123.12271676,3402267.07126636,28,3049722.68474975,757911.95221783,1831745.75795376,4782209.43438731,28,2701291.37624087,NA,NA,NA,28,2903411.3178091,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-03",31,1735173.02119908,373162.214501086,1118225.86415118,2573479.16686005,31,2318568.73814364,566128.058706643,1405412.46792938,3609824.98941865,31,2122348.33027825,NA,NA,NA,31,1996914.42514881,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-04",30,1631158.34771793,351312.87104599,1050490.64190414,2420514.79096446,30,2058352.85564502,488741.385943983,1265491.79113725,3169279.17070465,30,2026364.64039358,NA,NA,NA,30,1732035.30388087,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-05",31,1539887.52002807,323427.245031071,1002899.20522735,2264502.70874555,31,1872855.46967468,428498.513401106,1172600.59090875,2842493.85958039,31,1829115.77959885,NA,NA,NA,31,1985361.96850716,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-06",30,1481054.26070015,306498.228771335,970850.690813359,2166593.21529449,30,1671979.7811366,372855.971719665,1059660.95535999,2513144.26959944,30,1735993.58380546,NA,NA,NA,30,1804089.18760694,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-07",31,1404110.41203804,287444.918652911,924726.690220213,2046253.14247274,31,1418448.56764713,317091.610064554,897948.411953137,2134014.37200308,31,1612853.85773778,NA,NA,NA,31,1596139.30214267,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-08",31,1369612.41580882,279820.458530359,902783.514241995,1994582.31145377,31,1289424.14994514,294016.480407231,808625.874469748,1954477.95575688,31,1539908.47380377,NA,NA,NA,31,1525522.26691195,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-09",30,1715662.65841923,343436.081100846,1140715.33272111,2480982.00286385,30,1975887.70269114,445463.580010787,1245843.08560545,2982151.38174057,30,2012115.0956448,NA,NA,NA,30,2077274.34960687,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","NO3","2001-10",31,1963276.75974272,387348.078981853,1313250.57446497,2825080.56539956,31,2557880.89923293,578172.404331563,1610817.31233652,3864324.25901414,31,2298755.80665377,NA,NA,NA,31,2644322.26993628,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
