"site.id","constituent","Month","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"RONC02800","NO3","2002-10",31,19285.8068666216,22307.8030715758,2071.9221188505,76783.5295908353,NA,NA,NA,NA,NA,31,28938.9600968931,NA,NA,NA,31,26541.8222769786,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2002-11",30,29701.7403048344,29644.9016688462,4120.75299312408,107247.777327152,NA,NA,NA,NA,NA,30,44568.3957216558,NA,NA,NA,30,46771.7564862747,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2002-12",31,48965.1850584759,41926.3141878554,8693.9962681676,159117.070981972,NA,NA,NA,NA,NA,31,73473.8000831538,NA,NA,NA,31,86470.2292083262,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-01",31,74318.4495201363,55950.9286227149,15965.9377200615,220794.561183534,NA,NA,NA,NA,NA,31,111517.170055804,NA,NA,NA,31,141348.739537226,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-02",28,91208.8194383112,65111.8461910399,21102.0462467691,261144.868169797,NA,NA,NA,NA,NA,28,136861.700935399,NA,NA,NA,28,171409.228026593,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-03",31,65152.6625221296,53610.1156025145,12290.8834619167,205935.78995472,NA,NA,NA,NA,NA,31,97763.6193806135,NA,NA,NA,31,101161.014699492,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-04",30,53766.8258926766,46226.2917661429,9486.52529895959,175217.498327065,NA,NA,NA,NA,NA,30,80678.8135640852,NA,NA,NA,30,75302.4743500717,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-05",31,46753.2181282484,39599.4020196114,8441.06147473235,150784.770241073,NA,NA,NA,NA,NA,31,70154.674320186,NA,NA,NA,31,62351.9211797211,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-06",30,36379.213354549,31560.5256331372,6329.65506502492,119298.829969281,NA,NA,NA,NA,NA,30,54588.1538443427,NA,NA,NA,30,46034.5820698221,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-07",31,29581.1801451945,25800.8535381973,5104.12832043262,97367.4481429044,NA,NA,NA,NA,NA,31,44387.4911495824,NA,NA,NA,31,37071.6807009309,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-08",31,23798.2916793541,21508.1574898775,3882.85434256697,80284.8760407261,NA,NA,NA,NA,NA,31,35710.0851862946,NA,NA,NA,31,29791.2218953662,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-09",30,20703.6301248315,19508.0004798397,3158.82672875055,71879.1683910233,NA,NA,NA,NA,NA,30,31066.4482777293,NA,NA,NA,30,26317.9649198999,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-10",31,20274.2604871751,19682.7507624263,2945.45563414523,71841.6738065325,NA,NA,NA,NA,NA,31,30422.1657194309,NA,NA,NA,31,26627.451984241,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-11",30,25792.4972926863,23751.067760333,4084.14368839405,88143.7078217441,NA,NA,NA,NA,NA,30,38702.4536344451,NA,NA,NA,30,36267.5351255536,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2003-12",31,45663.8393977981,34440.9764747475,9784.63119089527,135836.334947332,NA,NA,NA,NA,NA,31,68520.0269577506,NA,NA,NA,31,74634.7950430183,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-01",31,56474.2572599353,40808.4802810296,12849.4812036576,163063.38919835,NA,NA,NA,NA,NA,31,84741.3988759466,NA,NA,NA,31,93288.1084250224,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-02",29,88372.1370194479,53947.9452768145,25029.9493951598,227303.460822342,NA,NA,NA,NA,NA,29,132605.16932183,NA,NA,NA,29,156143.752887329,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-03",31,87611.1528069562,53041.6222230322,25065.3235948817,224091.244069153,NA,NA,NA,NA,NA,31,131463.288655597,NA,NA,NA,31,146078.868962432,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-04",30,63489.3255843088,42799.1525951504,15862.0526544606,174722.412231084,NA,NA,NA,NA,NA,30,95267.7293349046,NA,NA,NA,30,89008.5954307385,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-05",31,67869.1480725138,40760.7344755356,19606.0250823799,172661.176302223,NA,NA,NA,NA,NA,31,101839.789784851,NA,NA,NA,31,97816.4497910227,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-06",30,61905.4363128953,35543.5178866369,18858.0062078661,152834.692068517,NA,NA,NA,NA,NA,30,92891.0524127878,NA,NA,NA,30,89548.7057761759,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-07",31,47363.0988003955,28146.0909428538,13856.3791179885,119642.46944162,NA,NA,NA,NA,NA,31,71069.8180668643,NA,NA,NA,31,66352.1375662122,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"RONC02800","NO3","2004-08",31,33814.4584155707,22020.6706514316,8835.12488260227,90877.2726731238,NA,NA,NA,NA,NA,31,50739.6577002015,NA,NA,NA,31,45059.0453417666,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
