"site.id","constituent","Season","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"ORIZ02900","NO3","2001-01-01",89,44562.3291329191,13421.7905820326,23948.4691662046,76023.2124848595,89,37413.599801763,30899.5288797008,7018.74169273263,118563.025060017,89,6168.08502149715,NA,NA,NA,89,5795.1627243721,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2001-04-01",92,49837.7923298194,15182.6223289471,26589.0945996351,85481.2723920977,92,40975.1410227061,29946.6984700355,9177.52024377658,119247.67311832,92,7080.17841671543,NA,NA,NA,92,3140.66649989738,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2001-07-01",92,36382.4037463965,10609.7213911282,19952.0049357259,61143.5055459606,92,24852.6658601958,16492.0085700597,6338.00114309287,67658.8561386909,92,5221.92857540506,NA,NA,NA,92,1939.43272190583,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2001-10-01",92,34284.7646074968,9223.40083855188,19720.561389219,55582.3596660471,92,29895.4733126879,19031.944292461,8039.15729243267,79111.0951024428,92,4794.90086301011,NA,NA,NA,92,4071.14905539276,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2002-01-01",89,60245.0789053764,15170.2373992412,35934.6630039791,94979.4831431715,89,42137.5978449971,24146.3865614456,12865.2919822065,103896.406382923,89,8256.83460377048,NA,NA,NA,89,10039.1479248875,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2002-04-01",92,59732.0401303633,15356.4874870568,35234.0324169301,94985.3026266979,92,55265.0803932322,28418.4578649638,19019.4977319768,127001.878558531,92,8487.89344412145,NA,NA,NA,92,4075.33218533333,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2002-07-01",92,43984.2451308964,11308.7209944559,25943.8781235814,69945.4567266569,92,37524.5152913433,18099.9665881661,13790.5757767937,82833.0767056778,92,6303.3153802654,NA,NA,NA,92,2563.88856138016,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2002-10-01",92,32834.8094748824,8470.00640660732,19332.7576426339,52287.4025640315,92,29648.0935462815,12821.9815082221,12086.470870212,61267.6859104308,92,4663.38149611391,NA,NA,NA,92,3278.35463141998,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2003-01-01",89,59093.9766643267,13759.4306270716,36685.2648437267,90295.4440591966,89,49677.9670077077,19631.9122369778,21897.4253109545,97479.4081806244,89,8210.88413465144,NA,NA,NA,89,8451.52086023921,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2003-04-01",92,61877.0495382847,14843.0395451244,37847.7755638214,95657.9625700728,92,61590.558705684,22301.570756509,29106.0832974788,115222.923273336,92,8881.57242934569,NA,NA,NA,92,3777.67959623006,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2003-07-01",92,41854.156728397,10234.9807780944,25350.4572947422,65203.0217152449,92,33681.6494636813,11188.9713170897,16953.4026337745,60265.3683205091,92,6102.03866094531,NA,NA,NA,92,1912.472818449,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2003-10-01",92,33270.4799091314,8170.55190958247,20107.3112078988,51919.624096496,92,31878.5683806877,9890.09515571257,16807.5032881303,55154.9609258846,92,4783.42419507987,NA,NA,NA,92,2824.42499724352,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2004-01-01",90,62608.7575047564,13358.8099155877,40491.2626632961,92592.0623084992,90,55206.3931956572,15472.1387155729,31010.1031948558,91124.8904068895,90,12662.8473608256,NA,NA,NA,90,13201.6919772835,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2004-04-01",92,78810.9029161584,16285.632248596,51694.5598298379,115230.655392474,92,78130.4839250809,20745.5045169071,45273.764868008,125952.435548145,92,68599.4054606277,NA,NA,NA,92,74723.3880222552,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2004-07-01",92,52983.7118441091,11727.5789170223,33697.1742011009,79417.9702940999,92,50930.0127634114,13393.6887113602,29670.8070920391,81766.5449446669,92,39225.0948056386,NA,NA,NA,92,36873.9587623547,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2004-10-01",92,41584.9248519193,8510.62401731608,27390.6886756429,60596.7606306773,92,45140.6474925673,10714.4834179604,27757.810039233,69493.9782200875,92,51626.7101055941,NA,NA,NA,92,58609.0150545588,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2005-01-01",89,68200.6752921688,13329.4333100943,45797.2718686968,97826.6890915105,89,60417.7114413456,12657.2957543952,39393.2339435335,88767.2334112214,89,69844.324393472,NA,NA,NA,89,129914.90262776,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2005-04-01",92,74943.9197675559,14417.4513898345,50649.6481473165,106933.544604851,92,79172.4427227908,15758.9819649102,52765.2898833987,114268.196452637,92,202062.214829294,NA,NA,NA,92,217526.401827915,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2005-07-01",92,52534.1322418546,10555.1666926331,34874.6991477273,76065.0734680421,92,50649.296476847,10027.473428366,33831.3422212714,72967.6482429033,92,63953.2924380734,NA,NA,NA,92,68668.1017136979,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2005-10-01",92,39463.4256163377,7845.14761386635,26314.6358866199,56932.4023923308,92,43426.6289732676,8546.92604625259,29077.8434061688,62437.4452799668,92,42530.7139148527,NA,NA,NA,92,40430.3669942878,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2006-01-01",89,66189.8959123832,12282.7077880305,45374.9994189962,93339.0548751993,89,66851.8718609513,12075.1611139558,46304.4638343601,93467.6642771412,89,60969.1606163196,NA,NA,NA,89,66463.9138832587,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2006-04-01",92,71968.5305760943,13884.5092449792,48583.0049974452,102785.06989698,92,76337.0151930132,14320.7177397118,52109.4047765087,108027.123250437,92,53722.0120527989,NA,NA,NA,92,48032.2373744301,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2006-07-01",92,49887.4779338578,9621.60339651535,33681.1242050377,71241.8398912154,92,42793.7919892736,8375.40473609991,28720.0471264677,61411.7747647805,92,69616.5784308564,NA,NA,NA,92,69951.5659032347,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2006-10-01",92,43523.2252307822,7752.68457770414,30303.6856303246,60587.1991304407,92,48896.8739171634,8774.14739089358,33951.8816283554,68223.6173065091,92,46367.4375780105,NA,NA,NA,92,60380.967246791,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2007-01-01",89,83254.8801960476,14847.9061225564,57941.3965498327,115939.742624805,89,68398.0531355249,12237.1992085827,47545.2768765259,95344.6823551882,89,92306.2414408706,NA,NA,NA,89,82178.8342505463,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2007-04-01",92,82131.9309055263,13968.915143517,58153.5859360383,112736.114307328,92,91594.8999000479,16258.1697175884,63857.7709041228,127366.97788579,92,91153.890110076,NA,NA,NA,92,90260.2021579852,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2007-07-01",92,62567.5877708584,11690.996682895,42776.6352111417,88427.5890334089,92,60686.9225891339,11304.5310968144,41540.9875036611,85683.9451476996,92,56720.2230809931,NA,NA,NA,92,60144.3804987939,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2007-10-01",92,44895.2388545667,7636.87591645339,31786.4322143161,61626.9450914238,92,48519.5197927396,8854.6690497313,33475.5860253619,68057.532021879,92,27691.5464288985,NA,NA,NA,92,30949.5731509251,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2008-01-01",90,79305.3386227566,12962.9366669341,56931.9965224313,107596.293142401,90,79258.9615489448,13729.5294932496,55752.7022811807,109393.342243029,90,23803.1107860356,NA,NA,NA,90,22451.4661922326,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2008-04-01",92,101715.675845682,16908.2331856398,72599.5537114417,138676.854681312,92,106108.219027824,18455.2344658558,74529.5187549236,146631.287893777,92,51661.1016296522,NA,NA,NA,92,56926.7667929156,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2008-07-01",92,65490.5460901129,11534.6417321902,45789.5401260994,90849.7161911661,92,67379.275400498,12616.7668504737,46028.1884481167,95293.2623065967,92,15829.8073546956,NA,NA,NA,92,14044.6252210649,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2008-10-01",92,48360.1579544735,7750.55461455886,34947.9968943453,65243.7423412557,92,54366.659039628,10127.3524351412,37214.490030373,76760.6895773549,92,61820.4668668511,NA,NA,NA,92,70845.680086295,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2009-01-01",89,88274.6035505338,14463.690039272,63319.1083970315,119848.129429059,89,83573.3463272203,14862.4084124006,58224.504403136,116280.676344355,89,79202.1372934624,NA,NA,NA,89,77309.7813066523,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2009-04-01",92,96964.9991241967,15282.5753455962,70461.0798826256,130204.008345968,92,108645.862774445,19818.9716797926,74971.554329856,152374.880063995,92,97744.6357708671,NA,NA,NA,92,102018.46466365,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2009-07-01",92,80191.5193362013,17044.0362692755,51952.8940399639,118429.136882302,92,85649.9117562601,18235.4339505065,55446.661398052,126568.415429633,92,26959.9779263244,NA,NA,NA,92,32475.4684913395,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2009-10-01",92,71813.9857634092,15270.8927016062,46515.3166094996,106075.533623495,92,70933.8057239198,14532.4591615106,46700.6151777287,103401.630555951,92,46704.7428369883,NA,NA,NA,92,52203.9553740142,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2010-01-01",89,103222.686044024,18957.6613684817,71045.0003989998,145080.67824248,89,83737.188122285,16915.4505781905,55462.3736729022,121469.783419321,89,84967.6153350767,NA,NA,NA,89,89459.2222279012,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2010-04-01",92,105023.256649072,16895.1249933541,75801.1008520888,141840.155739639,92,116679.383374737,20965.2026514678,80976.5029268081,162865.58830451,92,84984.9463782737,NA,NA,NA,92,91070.0924748939,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2010-07-01",92,71534.2728970735,12440.9349103512,50246.4003017438,98851.2480793508,92,71855.5670324461,13363.8443803558,49216.3296665252,101401.324918767,92,83607.1930431482,NA,NA,NA,92,70445.8518349839,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2010-10-01",92,55832.0838389645,8748.97825522836,40647.8074615533,74850.5686099027,92,63806.3495627802,11197.6778671459,44670.8585987535,88415.7758778248,92,64603.5139675275,NA,NA,NA,92,68880.7998827664,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2011-01-01",89,101242.583554368,17963.9564508759,70593.6324759997,140766.330666555,89,92508.0725668278,16433.4351433475,64475.2432579455,128668.723336336,89,121987.520981803,NA,NA,NA,89,178714.021114548,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2011-04-01",92,113292.011411581,19265.5905940758,80220.9338578815,155499.915636927,92,124287.243055783,21777.515806885,87063.5857756784,172140.687399375,92,119147.544728296,NA,NA,NA,92,109996.327152227,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2011-07-01",92,76786.7131003363,14022.0724503608,52965.6969117063,107728.701992969,92,78528.181108145,14275.3782812665,54260.235880081,110014.408995167,92,68323.9028438107,NA,NA,NA,92,70143.2041006875,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2011-10-01",92,65591.8038987667,11369.5646234527,46127.872238389,90548.039934776,92,73189.6308785046,12713.8194258103,51431.1303577868,101102.494595309,92,224154.014486748,NA,NA,NA,92,228884.886518228,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2012-01-01",90,96071.1583429479,16939.4639198524,67143.4706154252,133317.118404952,90,102487.775180412,17842.4215118325,71961.8190030132,141668.972676094,90,114270.91369737,NA,NA,NA,90,116522.573864238,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2012-04-01",92,120383.954609463,22378.6490005564,82470.2618215683,169857.840710624,92,132536.877069775,23928.059461484,91817.3369773846,185275.952968273,92,125423.505117541,NA,NA,NA,92,132670.936030159,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2012-07-01",92,87778.583066446,18640.8574723896,56889.6719517654,129594.568562026,92,92028.8470174627,18983.7034954508,60410.4756911959,134473.970429041,92,89301.8828863992,NA,NA,NA,92,92406.7149447211,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2012-10-01",92,60860.2035111642,10589.0481892526,42742.2312850614,84111.9185475774,92,68945.6585456574,12154.0540537053,48189.4169999866,95669.0357410208,92,53672.766523991,NA,NA,NA,92,55038.3719335429,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2013-01-01",89,110494.801229166,21827.2016371417,73873.0670704929,159064.295764118,89,107500.568572239,20524.4357699335,72873.7099875738,153003.534604225,89,95805.905238412,NA,NA,NA,89,102079.78865077,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2013-04-01",92,129269.503932601,25953.4356673162,85842.3686376584,187123.48170181,92,138514.114251452,28226.1628870799,91403.0862241273,201538.146843903,92,138077.362252764,NA,NA,NA,92,126249.936852192,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2013-07-01",92,89949.626730386,19521.7301080087,57728.0884760619,133851.311496589,92,93068.748854204,21078.3824611735,58554.7740327768,140708.795148057,92,68905.65342488,NA,NA,NA,92,68464.3569849409,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"ORIZ02900","NO3","2013-10-01",92,70246.2455842287,13541.1636259162,47436.0106435442,100298.092981107,92,81920.8214577174,18518.744131453,51587.1053599182,123766.395193371,92,78834.7282560437,NA,NA,NA,92,74868.360303335,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
