"site.id","constituent","Water_Year","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","PT","2001",273,576349.606842206,107956.942813409,393665.734009939,815207.400260899,273,521952.740151481,133404.580238997,308860.423392397,827976.48173937,273,624000.784950867,NA,NA,NA,273,623726.869883664,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2002",365,965020.861396419,167836.752246725,677833.942294506,1333546.58627615,365,916604.725536106,202432.060483848,583557.187858742,1372772.49228334,365,637084.828146631,NA,NA,NA,365,622943.911708152,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2003",365,744698.125204102,119150.487461939,538465.318535761,1004211.04320272,365,738870.959395059,131475.122599612,514650.562083175,1028222.14298221,365,507998.424714055,NA,NA,NA,365,514802.781792274,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2004",366,835951.80630378,119488.600088772,626229.464025215,1093566.81606223,366,847900.661939093,128460.600392105,624000.481833097,1126287.09472872,366,754384.812170671,NA,NA,NA,366,735984.73562535,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2005",365,818468.658165329,111583.86150116,621567.656856117,1058078.19386073,365,846263.000269557,127812.272182765,623406.702264182,1123166.31707729,365,917384.351068106,NA,NA,NA,365,809983.591806613,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2006",365,558683.840318732,68986.0971512226,435681.941148364,705652.440092796,365,585288.756845459,88178.3006273546,431492.183104363,776283.08667508,365,692805.659871831,NA,NA,NA,365,721003.715912397,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2007",365,867660.372218439,124785.325921984,648798.313823266,1136838.174125,365,923975.113288703,175014.93214921,628334.940967872,1311658.19668692,365,838726.152922781,NA,NA,NA,365,700196.649561675,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2008",366,724156.571918286,87253.0399118827,568210.87829171,909694.991806511,366,758253.062866197,114251.041568015,558984.677970935,1005723.77942972,366,532764.038570251,NA,NA,NA,366,500094.190878285,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2009",365,769449.3964406,99972.0897142123,592122.558247674,983282.703114341,365,799819.187826398,120729.423720053,589297.994682579,1061364.27899722,365,732892.668742835,NA,NA,NA,365,710648.046432421,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2010",365,1061453.09371642,181106.060586175,750714.533826157,1458358.72965009,365,1109538.2070497,217557.708183381,744072.929658211,1593252.50523846,365,857751.138704792,NA,NA,NA,365,932665.714166751,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2011",365,720642.853774003,109300.537870364,530163.610194284,957531.120525399,365,735933.260680605,119393.949413966,529658.508039963,996318.212933908,365,751320.782511307,NA,NA,NA,365,637823.423027077,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2012",366,670723.668960529,103090.952572902,491364.030409355,894423.979119118,366,652906.036837723,106223.668253011,469454.587324678,884630.376463297,366,562340.559623681,NA,NA,NA,366,606858.265702049,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2013",365,624839.875800989,103608.728488298,446363.899999267,851272.59873526,365,591401.971939382,113774.674788986,399685.572357969,843847.339778348,365,462308.303458368,NA,NA,NA,365,449186.145020811,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2014",365,222814.720367416,38524.6148085163,156839.247470866,307355.041265814,365,205083.41188694,44176.932648655,132067.588788303,304345.267592002,365,247982.227251625,NA,NA,NA,365,234421.813891335,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
"MOGU02900","PT","2015",92,195628.428220594,45366.7882527174,121684.955862433,298454.088433568,92,172849.833584494,52059.1034170659,92894.1352872215,294876.604977634,92,274059.069205424,NA,NA,NA,92,209696.669122263,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0",2017-12-05 12:17:43
