"site.id","constituent","Water_Year","n","REG.Flux_Rate","REG.SE","REG.CI_lower","REG.CI_upper","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","loadflex.version","run.date"
"ORIZ02900","PT","2001",273,24744.6708378563,5562.17853236615,15623.9889349744,37304.7451568606,11540.6159740637,NA,NA,NA,17574.0528244325,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2002",365,30431.7164989329,5748.16282967102,20717.4829219839,43160.9500322699,14192.9854653454,NA,NA,NA,25119.80918655,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2003",365,28058.4742146177,4839.83841278947,19767.1899118753,38676.7540393438,23141.9940029818,NA,NA,NA,23533.3864963499,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2004",366,29157.1023709361,4391.41338560202,21497.5136558632,38668.6510623283,26859.8962757308,NA,NA,NA,27644.5764794174,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2005",365,29695.6447316309,4055.85518245327,22540.1180624879,38406.3027388102,24840.1931099094,NA,NA,NA,24189.8777897219,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2006",365,26920.2374700828,3513.8386550868,20690.5410761771,34438.875221955,25939.9839095645,NA,NA,NA,25258.4511079523,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2007",365,29640.0332063924,3551.84016471133,23288.5538125635,37189.7112981684,27022.959146787,NA,NA,NA,28688.3028821706,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2008",366,28921.2832481031,3267.40388314947,23046.3089342427,35836.5083150198,25021.0494766375,NA,NA,NA,25539.8130298406,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2009",365,29754.6010215269,3674.26790459362,23203.429731865,37582.3236849743,37786.3160611197,NA,NA,NA,40691.4379776766,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2010",365,32109.9740279895,5143.74439716121,23208.2848845894,43314.4583294991,55162.0905491273,NA,NA,NA,57277.4439914935,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2011",365,28869.6302566162,3993.46206536971,21834.1489601204,37455.4206714756,15907.4746033637,NA,NA,NA,18282.6278921796,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2012",366,29143.0456149015,4605.4734703236,21158.725360199,39162.2604089028,9524.22493183126,NA,NA,NA,11358.3697161667,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2013",365,28274.0694562261,4789.52316977319,20047.9772377243,38763.180589494,21017.8390412891,NA,NA,NA,22178.9144525953,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2014",365,22164.8352119946,4498.13646873056,14651.9161025558,32203.7761800793,30243.0342239761,NA,NA,NA,31634.0696526126,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
"ORIZ02900","PT","2015",92,25357.3329443662,6773.72508848575,14643.8949506905,40984.1158137772,55310.2566276694,NA,NA,NA,56757.19212204,NA,NA,NA,"1.1.9","2017-03-22 14:31:59"
