"site.id","constituent","Season","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","PT","2001-01-01",89,1003135.29998898,223996.686999886,635370.515095797,1508551.06445775,89,888748.936587197,268494.498114229,476707.173920387,1518362.87739446,89,1151615.18425157,NA,NA,NA,89,1111028.90772853,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-04-01",92,446442.909250827,101737.243682685,280054.997652839,676552.042543249,92,410668.46813655,112572.362562224,233688.023480053,671244.231497076,92,490661.073395888,NA,NA,NA,92,542044.35717439,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-07-01",92,293387.536063335,63241.0694507347,188875.218319494,435495.943996664,92,278401.561266643,72830.9477096992,162663.591666184,445968.524577148,92,246930.914573642,NA,NA,NA,92,233997.628590845,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2001-10-01",92,763415.466895702,166900.07776646,488309.218837496,1139069.61475374,92,693987.741204941,188645.385256032,396824.333226043,1130173.94486512,92,172101.08940994,NA,NA,NA,92,152916.889833174,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2002-01-01",89,2091717.57218728,461678.260106205,1332064.98942596,3132007.03565261,89,2015687.66717742,569186.530940554,1127181.65058284,3338369.25396071,89,1199431.73633242,NA,NA,NA,89,1174605.22433738,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2002-04-01",92,623601.173105891,126094.59359683,412864.196263203,904905.61315271,92,592149.05407023,132432.550778954,374781.641846626,891019.019468317,92,785029.374063425,NA,NA,NA,92,738967.198947007,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2002-07-01",92,418089.343531289,83590.1690420412,278122.290027975,604338.309438852,92,400434.100832306,87888.6251177154,255669.960067789,598341.958471355,92,410114.51196071,NA,NA,NA,92,443275.289561656,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2002-10-01",92,556950.597552436,116651.070156105,363178.409942624,818215.86834513,92,534375.931179784,119299.349860445,338498.775373976,803550.829794738,92,439022.120566612,NA,NA,NA,92,392659.603024095,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2003-01-01",89,1640701.35532928,346303.338647486,1066233.40402144,2417003.47863205,89,1639747.8685016,405962.259283994,986835.060856574,2567284.01030304,89,923508.077575342,NA,NA,NA,89,990510.511739949,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2003-04-01",92,543510.078767873,105669.340528697,365754.57522162,778237.400647837,92,535693.861202538,106909.418761744,356625.756798858,773853.477136901,92,447241.886599678,NA,NA,NA,92,463099.11190493,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2003-07-01",92,266847.965801333,51304.9975779089,180387.770694994,380676.943353653,92,275042.597645436,56334.756615041,181099.101102084,400899.860082265,92,235770.841925281,NA,NA,NA,92,228454.109085373,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2003-10-01",92,435265.997023689,86325.1268975406,290524.823798135,627438.58224235,92,432317.386574099,87448.010210461,286177.936569601,627413.011664623,92,221728.255229631,NA,NA,NA,92,268314.585071651,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2004-01-01",90,1494105.62903297,297401.062740505,995755.295558487,2156428.4364289,90,1538957.16957556,351230.908437352,964697.260443734,2333512.95485575,90,1341947.38482127,NA,NA,NA,90,1212227.38563486,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2004-04-01",92,948490.883776936,175597.176504228,650807.443331178,1336528.03482111,92,952505.145314582,179021.082137541,649727.572833092,1348736.00496206,92,976589.415533231,NA,NA,NA,92,968865.705021134,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2004-07-01",92,480252.407179989,91794.1535685021,325413.682205802,683785.615932939,92,482845.913849441,93490.8854172165,325472.275400182,690428.937206957,92,490047.292503996,NA,NA,NA,92,504884.36786092,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2004-10-01",92,662675.118674977,121109.217902567,456957.219348891,929944.682445685,92,656718.83162538,128192.442836962,441216.029729335,941601.115467074,92,1106526.06314649,NA,NA,NA,92,996033.844801654,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2005-01-01",89,1622084.59561374,318118.149006356,1087709.1119264,2329397.99315393,89,1709025.77117534,394999.333547928,1064790.29370008,2603946.18949013,89,1876184.81743557,NA,NA,NA,89,1544333.76049416,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2005-04-01",92,658801.968647015,115935.699384677,460761.273945082,913667.710693965,92,677221.028896492,127336.614304954,461871.617315453,959070.394477194,92,541188.917223273,NA,NA,NA,92,551662.200251244,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2005-07-01",92,356517.817251078,61579.4620689973,251044.418388547,491637.209730123,92,370219.937997503,68991.0268506574,253380.505602629,522782.068775326,92,176902.839066033,NA,NA,NA,92,171850.762832249,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2005-10-01",92,421816.190891942,72836.1848364667,297056.897964401,581630.614337456,92,429508.420984902,84951.1528398043,287006.549513471,618565.92541828,92,343288.007255864,NA,NA,NA,92,360095.068555819,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-01-01",89,1131429.35037126,201715.734247248,787517.096953186,1575453.55535587,89,1188498.88114593,235320.452108348,793828.777720182,1712262.04455391,89,1555704.1672296,NA,NA,NA,89,1605340.81328606,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-04-01",92,466113.441929374,83439.8378823435,323939.778786481,649860.641222876,92,488946.993057809,101862.489363245,319581.678990503,716952.225418746,92,601249.047891391,NA,NA,NA,92,633341.800037927,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-07-01",92,234052.862105798,40252.8177105655,165065.408014439,322338.89130729,92,253870.62755082,55912.6747343682,161833.996899469,379825.593722666,92,299119.411915611,NA,NA,NA,92,314074.261031963,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2006-10-01",92,469399.653809556,78083.3071517949,334952.4749986,640100.366003718,92,479002.714748725,94941.4458666459,319798.477401621,690342.418109119,92,749588.932102593,NA,NA,NA,92,700447.551740012,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-01-01",89,2047938.07733796,427243.780142937,1337739.76735971,3004415.67282189,89,2225199.41255447,623560.644558365,1250008.84795239,3672769.95359182,89,1725824.34068747,NA,NA,NA,89,1257088.89034858,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-04-01",92,535897.374360575,90259.4033981169,380751.127225858,733455.3846559,92,557899.51213692,113122.595540582,368931.101752354,810342.329047798,92,355005.986966512,NA,NA,NA,92,346692.195286434,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-07-01",92,455893.699836957,95163.514075784,297721.248324932,668951.558970999,92,476230.040864666,106060.062215104,302010.54281918,715464.668898937,92,553412.466752962,NA,NA,NA,92,514717.490462555,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2007-10-01",92,447185.770143078,76141.2597000238,316505.829604224,614020.164746062,92,458561.568690109,92609.9529333549,303754.185029482,665137.215408743,92,336270.368776925,NA,NA,NA,92,246196.655536193,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-01-01",90,1197382.03492597,208169.869594599,841161.271939525,1654451.36953189,90,1266905.93067011,254911.371253062,840526.575680598,1835277.07152035,90,1026431.31376055,NA,NA,NA,90,946450.035774889,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-04-01",92,892109.813698764,158726.822571687,621409.850748829,1241433.17583589,92,933733.111053689,186017.418524281,622070.855523989,1348039.25093948,92,525325.854011819,NA,NA,NA,92,529005.607125448,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-07-01",92,370236.17897072,63956.1246792795,260693.780766304,510572.076027098,92,384869.3120901,74952.6588147757,258819.556153143,551394.849442814,92,253760.515018452,NA,NA,NA,92,288427.853009145,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2008-10-01",92,422792.452872816,70581.7795960307,301321.285961114,577147.233269416,92,433467.937062047,86063.1180384306,289192.43414255,625080.320950854,92,423247.74106573,NA,NA,NA,92,383065.909500446,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-01-01",89,1414256.49920279,264343.048930304,966788.847789802,1998991.87797271,89,1504395.67626022,330412.244567405,960231.149646309,2248477.35356444,89,1503964.48845717,NA,NA,NA,89,1563080.40331635,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-04-01",92,593349.162598302,101444.98317022,419341.871366305,815717.295633273,92,612967.715851392,120502.994398166,410626.546963007,880967.798880535,92,395043.071353274,NA,NA,NA,92,391052.187736454,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-07-01",92,668425.789656822,151307.566541945,420648.400661278,1010380.5896116,92,671420.742406948,156716.367468927,416314.830229295,1026902.40292527,92,634459.020390203,NA,NA,NA,92,533190.392466124,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
"MOGU02900","PT","2009-10-01",92,1389843.27647682,335815.296582336,846999.990964954,2154796.90985249,92,1430584.28039697,365919.679583359,846184.510961106,2270068.10558556,92,1639573.44675965,NA,NA,NA,92,1766342.97592035,NA,NA,NA,NA,NA,NA,NA,NA,"1.2.0","2017-12-12 14:31:59"
